"","what","content"
"9","AMS Letter I","There is a false equivalence underlying the entire argument behind Abigail Thompson’s essay in the December 2019 issue of the AMS Notices. Thompson draws a comparison between the loyalty oaths of the 1950s in the University of California system on one hand, and the diversity statements that are currently required by applicants for positions in that same system on the other. Loyalty oaths were an insidious outgrowth of the Red Scare that gripped the nation at the outset of the Cold War. Public figures like US Senator Joseph McCarthy and California State Senator Jack B. Tenney were capitalizing on the allure of fascist political techniques during an era when citizens had well-founded fears of nuclear war. Their tacit goal was to sow fear of the “other” in order to maintain their own power. The explicit goal of diversity statements is to promote equity in the workplace, in higher education, and in the marketplace of ideas. I fail to see how these are comparable. Thompson also misrepresents how the rubrics for evaluating the diversity statements are to be applied. Here is what the Berkeley Office for Faculty Equity and Welfare says: Consider creating a cut-off score for advancing equity and inclusion, below which a candidate would not move forward in the search process (would be considered below the bar), regardless of their scores in other areas, similar to what would be done for research quality or plans. For example, if 5 points are given for various components of advancing diversity, equity, and inclusion (eg., understanding 5 points, track record 5 points, and plans 5 points), assign a value below which a candidate would not be considered competitive and would not move forward regardless of their scores in other areas (eg., any single 0 or 1 out of 5 would disqualify a candidate from further consideration). Set a high bar. These are stated as recommendations, and it is left to the faculty to decide how important equity and inclusion are to their department. Thompson’s approach is to appeal to emotion, and presents no evidence that this is having a negative impact on any actual mathematics department’s hiring practices. The AMS editors have failed the membership by publishing a prominent essay by an esteemed officer whose arguments are fallacious and scientifically ill-founded. Additionally, Thompson asserts, “Politics are a reflection of how you believe society should be organized.” No, politics is the exercise of power in service to an ideology. Individual and institutional values are a reflection of how you believe society should be organized. The University of California is displaying its institutional values by requiring a commitment to diversity. It has the authority to promote this vision by recommending that each department utilize a policy of inclusion and equity in their hiring practices. Thompson has opted to politicize this issue by exercising her power in her capacities as chair of the UC Davis mathematics department and Vice President of the AMS. Racist and sexist policies—both written and unwritten— are obstacles for many Americans who would like to seek higher education and opportunity. This is documented fact, not politics. Professors who are mindful of this fact will present an antiracist and antisexist face for the University of California system. Values, not politics. The UC system is taking an active role in addressing these facts and promoting these values. In doing so, they continue to uphold Supreme Court Justice Harry Blackmun’s words: “In order to get beyond racism, we must first take account of race. There is no other way. And in order to treat some persons equally, we must treat them differently.” This opinion is my own, and may not represent that of my employer."
"10","AMS Letter J","Abigail Thompson’s article which appears in the December 2019 issue of the Notices of the American Mathematical Society deserves a thorough airing. I disagree, very strongly, with, in my view, its very limited sense of the scale and scope of the mathematics community and its conflation of the use of diversity statements in some hiring practices for mathematics jobs with McCarthyism. I recognize that the AMS has worked and continues to work assiduously to address the issue of underrepresentation. However, the evidence, much of it documented and disseminated by the AMS, makes very clear that the actual outcomes, the results, ie. are we as a community demonstrably more diverse than we were ten years ago, indicate that much work still needs to be done in order for us to be truly a community of equity and excellence. In a deep sense, this essay, from a Vice President of the AMS, even though Prof. Thompson makes clear that she speaks for herself and not for the Society the article’s tagline prominently identifies her as a Vice President of the AMS, makes a compelling argument for the need for diversity statements in hiring. For context, consider the following questions: how many tenured African American professors of mathematics are there in the UC system? Closer to my home, how many 4In the published article, the words “This essay contains my opinions as an individual” are jarringly juxtaposed with the heading “Abigail Thompson, a Vice President of the AMS” in larger blue font. 5Justice Blackmun wrote this while contemplating the Equal Protection Clause of the 14th Amendment during the 1978 case Regents of the University of California v. Bakke. African American assistant professors do we have on the tenure track in the entire CUNY system in mathematics? At Medgar Evers College, where I have worked for almost twenty-five years, we have two, yes two, tenured mathematicians of African descent. The pace of change, when viewed from my vantage point is painfully slow. I note, for some perspective, that Black Americans have received just one (1) percent of the doctoral degrees in mathematics granted over the last decade. How do we change this? We must become a community that holds, as a priority, for the discipline of mathematics, the critical importance of increasing the number of African American and other mathematicians of color. How do we do this? It is evident that we must hire mathematicians who have demonstrated some evidence of their willingness to work on this challenge. Ie., if we are serious, our intent must be accompanied by some supporting infrastructure, an appropriate set of policies and practices aimed at achieving our desired ends. Therefore, requiring that applicants write some form of diversity statement is but a small piece of such an infrastructure. A diversity statement is simply an element of one’s Teaching Philosophy. It is not a political identity. I close by reiterating: research requires new ideas; new ideas come from new people. Excellence in mathematics is a function of diversity. We, the mathematical community, elide this truth at our peril."
"11","AMS Letter K","Thank you for publishing the article by Prof. Thompson “A word from...” in the December issue. We read it with interest, as it brings readers’ attention to a subject of universal (in our opinion) importance. It also demonstrates personal courage of the author and the editor, as the expressed viewpoint was likely to stir a controversy. We are concerned about the online campaign against the Notices and personally Prof. Thompson, following the publication of her article. It is a sad irony that the reaction of Prof. Thompson’s online opponents only adds value to her argument that our times share some common features with darker periods in history. We strongly believe that boycotts and the “cancel culture” have no place in academia. They reinforce fear, shame, and self-censorship, and eventually hinder our ability to search for the truth. Finding an optimal balance between various approaches to improve functioning of the academic institutions, while respecting interests of different groups, as well as individual freedoms and non-mainstream opinions, is not an easy task. We view the article of Prof. Thompson as an important contribution to a civilized discussion on this topic."
"12","AMS Letter L","I would like to express my gratitude for your courageous decision to publish the opinion article by Abigail Thompson in the recent issue of the Notices. And these feelings extend to all who supported you in this decision. Free expression of opinion, which this article contains, is absolutely crucial in any policy making, and I find it very troubling that some people try to suppress debate by intimidation—something one would expect in a totalitarian regime and not in the USA. I observed a triple irony in some reactions to Abigail’s article. 1. The bullying and intimidating responses only make Abigail’s analogy with McCarthyism so much more convincing. 2. The participants in the hounding campaign commit the very offences that they profess to be against, and do so in a much worse way. 3. The campaigners’ loudest objection is to the very thing (the analogy with McCarthyism) they themselves are most guilty of. You and Abigail have my full support and admiration."
"13","AMS Letter M","The heated debate in the US mathematical community that followed the publication of the article “A word from...” by Abigail Thompson in the December issue of the Notices of the AMS crossed the Atlantic. This short letter is an opinion of an individual from its other side. It is of course difficult to compare the systems and traditions of different countries, but such a comparison could still be useful, especially when the debate also crossed the boundaries of cordiality... Hiring committees in France never ask candidates for diversity statements, but most of my colleagues (all that I know) participate in a number of different ways in the long fight for inclusion and diversity. There are many programs, such as “Math en Jeans,” “Fête de la Science,” etc. All of them popularize mathematics in high and elementary schools, one goal of these programs is precisely to attract students from a variety of backgrounds. People are happy to participate in these programs, there are always many volunteers. The administration also contributes. In particular, students pay nothing for their education, and they have a full social security cover. The scientific community vigilantly follows all the changes proposed by the administration and the government, and protests when some parts of this system are threatened. A mandatory diversity statement in the hiring process does not seem to be an efficient way to improve the diversity. How can a hiring committee see the difference between sincere and “fake” diversity statements, written (or copied from the internet) by a desperate candidate? Isn’t it more useful to work with the administration, sponsors, government? Something tells me that people who do this real work are not the same who write the most compelling diversity statements, or organize a witch-hunt against Abigail Thompson. At least, it is clear that her article in the Notices is sincere, it contributes to the real fight for diversity. Respect your future colleagues, spare their energy, and invite them to participate in the real work to improve the diversity, rather than torture themselves with writing statements in stereotyped language!"
"14","AMS Letter N","In my opinion, diversity is an important social and academic value, the pursuit of which can also be an important means for academic excellence. One reason we need to pay special attention to diversity is that there are various mechanisms against it, which in and of themselves are harmful to academic life and excellence, such as dominance and, at times, even bullying by members of majority/power groups. On this and other issues, academic institutions have the right and duty to form academic policies and pursue them, and also the obligation to allow free debate about these policies. If you feel uncomfortable about making a one-time statement about a policy you disagree with, and I can certainly understand this feeling, think about how uncomfortable it is to be a member of a minority group that cannot freely express her or his views, and who faces unjust judgment, and at times even hostility, on a regular basis."
"16","AMS Letter O","I applaud Abigail Thompson for her thought-provoking and brave essay (December 2019 Notices) arguing against mandatory diversity statements from academic job applicants. While we should undoubtedly try to reduce barriers to participation in mathematics, requiring diversity statements is a political litmus test that should have no place in any university that values truth and free expression. In fact, as Dr. Thompson describes, the rubric used for grading these statements recommends a low score to any candidate who merely states they will treat students equally regardless of background; to get a high score on these statements one needs to describe activities “promoting different identity groups” and have a strong “interest in dimensions of diversity that result from different identities.” Whatever one’s position on promoting people based on the identity group they belong to (as opposed to treating them as individuals) or on the kind of intersectionalism alluded to above, it cannot be denied that this is a political/ philosophical stand, and so this rubric necessarily excludes people who may not agree with this stand. Incidentally, one of the oft-mentioned benefits of diversity is that one needs multiple viewpoints and perspectives to solve difficult problems. However, the term “identity” as used in the context of diversity statements is never interpreted to include political or philosophical identity. This means that the high-scoring applicants, who are therefore likely to get the job, are of a relatively homogeneous political bent, which ironically goes against the very essence of viewpoint diversity and negates the benefit mentioned above."
"17","AMS Letter P","I am writing to express my strong support for your decision to publish Abigail Thompson’s piece in the December Notices of the AMS. I am truly dismayed by the vitriolic attacks on her and the AMS for allowing an open exchange of opinions on an important and controversial topic. Please do not cave in to such pressure tactics. In standing up for Abigail‘s right to express her opinion, you will serve the best interests of your readers, of the AMS, and of academics at large."
"18","AMS Letter Q","I was saddened to see the reaction from some of our colleagues to Prof. Thompson’s opinion piece in the last edition. Though my opinion may differ from hers, I support her freedom to express her opinion publicly. The fact that there is disagreement should encourage us all to have an open and respectful discussion in our community of what are the best strategies to achieve a diverse community. The personal attacks that she has been confronted with are uncalled for. Let's remember that part of diversity is the freedom to have and express diverse opinions."
"19","AMS Letter R","I was delighted to see the December Notices of the AMS publish Abigail Thompson’s thoughtful article. I was equally shocked and disappointed to see the subsequent attacks on the AMS. The AMS Notices did what it is supposed to do: Promoted then open exchange of thoughtful opinions on an important and controversial topic. Please continue on your mission."
"20","AMS Letter S","Universities that want to value diversity are requiring diversity statements as a way to demonstrate this to the applicants. What can possibly go wrong with that? Unfortunately, an unintended and yet pervasive effect of the diversity statements in practice is the normalization and encouragement of the worst sexist/racist prejudices, the very thing they are supposed to fight. The strongest open sexism I have ever felt in academia happened around diversity statements that we’ve been dealing with at UCs for over 10 years. People often list writing joint papers with women as their contributions to diversity, something that may have been akin to the “I am not a sexist” declaration in the 70s, but definitely has the opposite connotation at this time and age. Occasionally students even refer to their (prominent) female advisors in this regard! Worse yet, some job-seekers list their collaboration with female peers as contribution to diversity. Regardless of their intent, it definitely hurts the image of young women mentioned that way (as well as, of course, of women as a group) in the community‘s eyes. At my university, we also have (not fully mandatory, so far) diversity statements for all our merit actions, happening roughly once every three years. Some faculty do the same, listing collaborating with (often senior!) women, inviting women to conferences, etc as their contribution to diversity. Some list their appointing as editors women who are a lot more distinguished than most of the rest of the editors of that journal as expanding professional opportunities for women. While few people write such insulting statements, what is disturbing is the fact that the evaluators behave as if it is OK, communicating to the broader community that it actually is OK. Needless to say how humiliating and discouraging it is for women to constantly read things like that even in regards to the highest achievers in the community. I believe people writing those things don’t necessarily genuinely believe in the inferiority of women they mention in such a disparaging way. It is just that few have done real diversity-related activities, and the most impudent ones among the others feel compelled to list something, sometimes also encouraged by the success of their federal support applications, where they routinely include similar things. Then, the clueless ones copy from their successful friends. Luckily, many people never read those statements, but everyone who actually reads them as business as usual, will only get their biases strengthened as a result. I have always appreciated the inclusive atmosphere of my community in mathematical physics, where I have long felt a sense of belonging. Many people in this community have, directly or indirectly, strongly contributed to the diversity and inclusion through both creating the respectful climate and through their support and encouragement of colleagues, in particular, of me, which has greatly enabled my growth. It is crucial, however, that to them I was never a commodity to be reported upon, as is implicitly encouraged by the diversity statements. I strongly believe it is important to work on improving climate and inclusivity in general, and some of the steps already made in this direction have been good. For example, I am grateful for the education I received on internal biases. I am someone who would not have had a chance in academia if affirmative action had not existed when I was hired in 1993. Yet, it was at the time when I had already done some very important work, and preferential treatment shouldn’t have been needed in my case, in an ideal world without biases. I support efforts that encourage fairness in the hiring process, and in particular open hiring committees’ eyes on all sorts of biases (gender, minority, lesser institution...) that could affect their own evaluation as well as some recommendation letters. Unfortunately, the focus on diversity statements only takes attention away from this important topic. Moreover, I believe that at tenure track hiring, which is largely about promise, the difficulties that affect most women and minorities at the early stages should be taken into account, in a sensible way. It may also be justified to resolve some other ties taking into account the role model considerations. However, I think that the often present push to increase percentage of women beyond what is currently reasonably warranted by merit, only multiplies the biases, is very damaging for the community’s perception of women as a group, and thus is very harmful for the climate. As one example, I was recently on a committee to select the winner of an important prize. It went to a female mathematician. I am sure that most people who don't closely know her or her work, when learning the news, thought “of course, they wanted to select a woman”. Yet her gender had zero influence on our considerations, there was no push on the committee, and she was selected from all the applications purely on scientific merit according to the prize criteria. The value of this well-deserved prize is not at all the same for her as it would have been if she was a man. As another recent example, I was on a committee that had to select a couple of graduate students. I suggested a student, arguing that she was the most accomplished one on the list. As if not hearing my arguments, a diversity-minded colleague immediately suggested to also add another female student, who was one of the least accomplished. If both were selected, what message would it have sent to them as well as the other students? An unfairness present in some selections inevitably leads to it being multiplied by a large factor in people's perception and viewed as a universal phenomenon, thus to highly increased prejudices. I don't think this is the desired outcome. I also think it is good to hire people who will not have a negative effect on the atmosphere, those who are supportive to students and colleagues, and not disrespectful, indifferent, or discouraging. Yet, diversity statements are a very poor, if not a counterproductive, tool for making such a distinction. Genuine activities that lead to improved inclusion should definitely be valued, just like any other important service. Yet, if the word comes out that co-authoring papers with women no longer counts, the same people will rush to have some relevant diversity checkmarks. But will a workshop for women run by a person who believes in their inferiority be a positive contribution? In practice, much of the diversity activism it would encourage will be fake or tone-deaf, and ultimately only harmful to the climate. In my own experience, some of the best contributors to a positive climate have been strong mathematicians who show interest in the work of others. An excellent example is Jean Bourgain. He was interested in good mathematics and showed zero prejudice. He strongly influenced careers of a number of prominent men and women at formative stages. He conveyed respect and always talked in a subtly encouraging way. I knew the fact that I was a woman was irrelevant to him, and all this gave me great inspiration and encouragement. I see him as a great contributor to diversity and an inclusive climate. People with checkmark diversity activities would pass the UC diversity rubric barrier. Would Jean Bourgain?"
