"rawname","name","rawaffiliation","affiliation","stance"
"Alexander Kleshchev","alexander kleshchev","University of Oregon","university of oregon","AMR Member"
"Ilya Kofman","ilya kofman","College of Staten Island and the The Graduate Center, CUNY","city university of new york","AMR Member"
"Alex Kontorovich","alex kontorovich","Rutgers University","rutgers university","AMR Member"
"Michael Krivelevich","michael krivelevich","Tel Aviv University","tel aviv university","AMR Member"
"Peter Kuchment","peter kuchment","Texas A&M University","texas a&m university","AMR Member"
"Marc Lackenby","marc lackenby","University of Oxford","university of oxford","AMR Member"
"Jeffrey Lagarias","jeffrey lagarias","University of Michigan","university of michigan","AMR Member"
"Sofia Lambropoulou","sofia lambropoulou","National Technical University of Athens","national technical university of athens","AMR Member"
"Erez Lapid","erez lapid","Weizmann Institute of Science","weizmann institute of science","AMR Member"
"Michel Lapidus","michel lapidus","University of California at Riverside","university of california riverside","AMR Member"
"Aaron Lauda","aaron lauda","University of Southern California","university of southern california","AMR Member"
"Mark Levi","mark levi","Pennsylvania State University","pennsylvania state university","AMR Member"
"Michael Levitin","michael levitin","University of Reading","university of reading","AMR Member"
"Lek-Heng Lim","lek heng lim","University of Chicago","university of chicago","AMR Member"
"Fanghua Lin","fanghua lin","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"Alexander Lipton","alexander lipton","The Hebrew University of Jerusalem","hebrew university of jerusalem","AMR Member"
"Darren Long","darren long","University of California at Santa Barbara","university of california santa barbara","AMR Member"
"Ivan Losev","ivan losev","Yale University","yale university","AMR Member"
"John Lott","john lott","University of California at Berkeley","university of california berkeley","AMR Member"
"Zhiqin Lu","zhiqin lu","University of California at Irvine","university of california irvine","AMR Member"
"Alex Lubotzky","alex lubotzky","Weizmann Institute","weizmann institute of science","AMR Member"
"Mikhail Lyubich","mikhail lyubich","Stony Brook University","suny stony brook","AMR Member"
"Robert MacPherson","robert macpherson","The Institute for Advanced Study","institute for advanced study","AMR Member"
"Leonid Makar-Limanov","leonid makar limanov","Wayne State University","wayne state university","AMR Member"
"Fyodor Malikov","fedor malikov","University of Southern California","university of southern california","AMR Member"
"Vassily Manturov","vassily manturov","Moscow Institute of Physics and Technology","moscow institute of physics and technology","AMR Member"
"Gaven Martin","gaven martin","Massey University","massey university","AMR Member"
"Anna Mazzucato","anna mazzucato","The Pennsylvania State University","pennsylvania state university","AMR Member"
"William Meeks","william meeks","University of Massachusetts at Amherst","university of massachusetts amherst","AMR Member"
"William Menasco","william menasco","University at Buffalo SUNY","suny buffalo","AMR Member"
"Grisha Mikhalkiin","grisha mikhalkiin","University of Geneva","university of geneva","AMR Member"
"Chris Miller","chris miller","Ohio State University","ohio state university","AMR Member"
"Stephen Miller","stephen miller","Rutgers University","rutgers university","AMR Member"
"Vitalii Milman","vitali milman","Tel Aviv University","tel aviv university","AMR Member"
"Giuseppe Mingione","giuseppe mingione","University of Parma","university of parma","AMR Member"
"Eva Miranda","eva miranda","Universitat Politècnica de Catalunya","universitat politecnica de catalunya","AMR Member"
"John Morgan","john morgan","Columbia University","columbia university","AMR Member"
"Werner Muller","werner muller","University of Bonn","university of bonn","AMR Member"
"Vicente Muñoz","vicente munoz","Universidad de Málaga","universidad de malaga","AMR Member"
"Aniceto Murillo","aniceto murillo","Universidad de Málaga","universidad de malaga","AMR Member"
"Tatiana Nagnibeda","tatiana nagnibeda","University of Geneva","university of geneva","AMR Member"
"Daniel Nakano","daniel nakano","University of Georgia","university of georgia","AMR Member"
"Nikita Nekrasov","nikita nekrasov","Simons Center for Geometry and Physics","suny stony brook","AMR Member"
"Charles Newman","charles newman","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"Lei Ni","lei ni","University of California at San Diego","university of california san diego","AMR Member"
"Dmitry Novikov","dmitry novikov","Weizmann Institute of Science","weizmann institute of science","AMR Member"
"Adrian Ocneanu","adrian ocneanu","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Turgut Önder","turgut onder","Middle East Technical University","middle east technical university","AMR Member"
"Dmitri Orlov","dmitri orlov","Steklov Mathematical Institute, Moscow","steklov mathematical institute","AMR Member"
"Sergei Ovchinnikov","sergei ovchinnikov","San Francisco State University","san francisco state university","AMR Member"
"Valentin Ovsienko","valentin ovsienko","CNRS, Université de Reims Champagne-Ardenne","cnrs","AMR Member"
"Makoto Ozawa","makoto ozawa","Komazawa University","komazawa university","AMR Member"
"Peter Ozsvath","peter ozsvath","Princeton University","princeton university","AMR Member"
"Richard Palais","richard palais","University of California at Irvine","university of california irvine","AMR Member"
"Karen Parshall","karen parshall","University of Virginia","university of virginia","AMR Member"
"Robert Penner","robert penner","Institut des Hautes Etudes Scientifiques","institut des hautes etudes scientifiques","AMR Member"
"Yakov Pesin","yakov pesin","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Seth Pettie","seth pettie","University of Michigan","university of michigan","AMR Member"
"Leonid Polterovich","leonid polterovich","Tel Aviv University","tel aviv university","AMR Member"
"Iosif Polterovich","iosef polterovich","Université de Montréal","university of montreal","AMR Member"
"Paul Pollack","paul pollack","University of Georgia","university of georgia","AMR Member"
"Sorin T Popa","sorin popa","University of California Los Angeles","university of california los angeles","AMR Member"
"Leonid Potyagailo","leonid potyagailo","University of Lille","university of lille","AMR Member"
"Jozef Przytycki","jozef przytycki","George Washington University","george washington university","AMR Member"
"Alexander Razborov","alexander razborov","University of Chicago and Steklov Institute","university of chicago","AMR Member"
"Vladimir Retakh","vladimir retakh","Rutgers University","rutgers university","AMR Member"
"Andre Reznikov","andre reznikov","Bar Ilan University","bar ilan university","AMR Member"
"Renzo L Ricca","renzo l ricca","University of Milano-Bicocca","university of milano bicocca","AMR Member"
"Federico Rodriguez Hertz","federico rodriguez hertz","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Lev Rozansky","lev rozansky","University of North Carolina at Chapel Hill","university of north carolina chapel hill","AMR Member"
"Zeev Rudnick","zeev rudnick","Tel Aviv University","tel aviv university","AMR Member"
"Francisco R Ruiz del Portal","francisco r ruiz del portal","Universidad Complutense de Madrid","universidad complutense de madrid","AMR Member"
"Lenya Ryzhik","lenya ryzhik","Stanford University","stanford university","AMR Member"
"Donald Saari","donald saari","University of California at Irvine","university of california irvine","AMR Member"
"Mark Sapir","mark sapir","Vanderbilt University","vanderbilt university","AMR Member"
"Pierre Schapira","pierre schapira","Sorbonne Université","sorbonne universite","AMR Member"
"Martin Scharlemann","martin scharlemann","University of California at Santa Barbara","university of california santa barbara","AMR Member"
"Hal Schenck","hal schenck","Auburn University","auburn university","AMR Member"
"Richard Schoen","richard schoen","University of California at Irvine","university of california irvine","AMR Member"
"Albert Schwarz","albert schwarz","University of California at Davis","university of california davis","AMR Member"
"Wilfried Schmid","wilfried schmid","Harvard University","harvard university","AMR Member"
"José Seade","jose seade","Universidad Nacional Autónoma de México","universidad nacional autonoma de mexico","AMR Member"
"Julius Shaneson","julius shaneson","University of Pennsylvania","university of pennsylvania","AMR Member"
"Alexander Shen","alexander shen","LIRMM CNRS Université de M","cnrs","AMR Member"
"Steve Shkoller","steve shkoller","University of California at Davis","university of california davis","AMR Member"
"Roman Shvydkoy","roman shvydkoy","University of Illinois at Chicago","university of illinois chicago","AMR Member"
"Mikhail Sodin","mikhail sodin","Tel Aviv University","tel aviv university","AMR Member"
"Alina Stancu","alina stancu","Concordia University","concordia university canada","AMR Member"
"Richard Stanley","richard stanley","Massachusetts Institute of Technology and University of Miami","university of miami","AMR Member"
"Benjamin Sudakov","benjamin sudakov","ETH, Zurich","eth zurich","AMR Member"
"John Sullivan","john sullivan","Technische Universität Berlin","tu berlin","AMR Member"
"De Witt Sumners","de witt sumners","Florida State University","florida state university","AMR Member"
"Sergei Tabachnikov","sergei tabachnikov","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Kouki Taniyama","kouki taniyama","Waseda University","waseda university","AMR Member"
"Cliff Taubes","cliff taubes","Harvard University","harvard university","AMR Member"
"Michael Temkin","michael temkin","Hebrew University","hebrew university of jerusalem","AMR Member"
"Chuu-Lian Terng","chuu lian terng","University of California at Irvine","university of california irvine","AMR Member"
"Abigail Thompson","abigail thompson","University of California at Davis","university of california davis","AMR Member"
"Alexander Tumanov","alexander tumanov","University of Illinois","university of illinois urbana champaign","AMR Member"
"Pavel Tumarkin","pavel tumarkin","Durham University","durham university","AMR Member"
"Alek Vainshtein","alek vainshtein","University of Haifa","university of haifa","AMR Member"
"Robert Vandervorst","robert vandervorst","Vrije Universiteit Amsterdam","vrije universiteit amsterdam","AMR Member"
"Victor Vassiliev","victor vassiliev","Steklov Mathematical Institute, Moscow","steklov mathematical institute","AMR Member"
"Alexander Veselov","alexander veselov","Loughborough University","loughborough university","AMR Member"
"Marcelo Viana","marcelo viana","Instituto Nacional de Matemática Pura e Aplicada","instituto nacional de matematica pura e aplicada","AMR Member"
"Jeff Viaclovsky","jeff viaclovsky","University of California, Irvine","university of california irvine","AMR Member"
"Vlad Vicol","vlad vicol","New York University","new york university","AMR Member"
"Marie-France Vigneras","marie france vigneras","Institut de Mathématiques de Jussieu, Université de Paris","institut de mathematiques de jussieu","AMR Member"
"Oleg Viro","oleg viro","Stony Brook University","suny stony brook","AMR Member"
"Dan-Virgil Voiculescu","dan virgil voiculescu","University of California at Berkeley","university of california berkeley","AMR Member"
"Claire Voisin","claire voisin","CNRS, Institut de Mathématiques de Jussieu-Paris Rive Gauche","institut de mathematiques de jussieu","AMR Member"
"Simone Warzel","simone warzel","TU München","tu munchen","AMR Member"
"Michael Waterman","michael waterman","University of Southern California","university of southern california","AMR Member"
"Guofang Wei","guofang wei","University of California at Santa Barbara","university of california santa barbara","AMR Member"
"Charles Weibel","charles weibel","Rutgers University","rutgers university","AMR Member"
"Daniel Wise","daniel wise","McGill University","mcgill university","AMR Member"
"Mariusz Wodzicki","mariusz wodzicki","University of California at Berkeley","university of california berkeley","AMR Member"
"Hung-Hsi Wu","hung hsi wu","University of California at Berkeley","university of california berkeley","AMR Member"
"Sergei Yakovenko","sergei yakovenko","Weizmann Institute of Science","weizmann institute of science","AMR Member"
"Michael Yampolsky","michael yampolsky","University of Toronto","university of toronto","AMR Member"
"Alexander Yong","alexander yong","University of Illinois at Urbana-Champaign","university of illinois urbana champaign","AMR Member"
"Lai-Sang Young","lai sang young","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"Yuri Zarhin","yuri zarhin","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Doron Zeilberger","doron zeilberger","Rutgers University","rutgers university","AMR Member"
"Wei Zhang","wei zhang","Massachusetts Institute of Technology","massachusetts institute of technology","AMR Member"
"Vadim Zharnitsky","vadim zharnitsky","University of Illinois at Urbana-Champaign","university of illinois urbana champaign","AMR Member"
"Anton Zorich","anton zorich","Institut de Mathématiques de Jussieu, Université de Paris","institut de mathematiques de jussieu","AMR Member"
"Maciej Zworski","maciej zworski","University of California at Berkeley","university of california berkeley","AMR Member"
"Blake Winter","blake winter","Medaille College","medaille college","AMS Letter D"
"George E. Andrews","george andrews","American Mathematical Society","pennsylvania state university","AMS Letter E"
"Mark Saul","mark saul","American Institute of Mathematics","american institute of mathematics","AMS Letter F"
"Hung-Hsi Wu","hung hsi wu","University of California Berkeley","university of california berkeley","AMS Letter G"
"Alejandro Chavez-Dominguez","alejandro chavez dominguez","University of Oklahoma","university of oklahoma","AMS Letter H"
"Aaron Kaestner","aaron kaestner","North Park University","north park university","AMS Letter A"
"Aaron Weinberg","aaron weinberg","Ithaca College","ithaca college","AMS Letter A"
"Abba Gumel","abba gumel","Arizona State University","arizona state university","AMS Letter A"
"Abeer Hasan","abeer hasan","Humboldt State University","humboldt state university","AMS Letter A"
"Adam Avilez","adam avilez","Mesa Community College","mesa community college","AMS Letter A"
"Adam Castillo","adam castillo","Florida International University","florida international university","AMS Letter A"
"Aditya P. Adiredja","aditya p adiredja","The University of Arizona","university of arizona","AMS Letter A"
"Adriana Salerno","adriana salerno","Bates College","bates college","AMS Letter A"
"Ahsan Chowdhury","ahsan chowdhury","Virginia Tech","virginia tech","AMS Letter A"
"Aida Alibek","aida alibek","University of Illinois at Chicago","university of illinois chicago","AMS Letter A"
"Aisha Mechery","aisha mechery","Bryn Mawr College","bryn mawr college","AMS Letter A"
"Ajeet Gary","ajeet gary","New York University","new york university","AMS Letter A"
"Alejandra Rincon Hidalgo","alejandra rincon hidalgo","ICTP","international center for theoretical physics","AMS Letter A"
"Alexander Diaz-Lopez","alexander diaz lopez","Villanova University","villanova university","AMS Letter A"
"Alexander Halperin","alexander halperin","Salisbury University","salisbury university","AMS Letter A"
"Alexander Hoover","alexander hoover","Assistant Professor, University of Akron","university of akron","AMS Letter A"
"Alexander Rasmussen","alexander rasmussen","Yale University","yale university","AMS Letter A"
"Alexander S. Moore","alexander s moore","Virginia Tech","virginia tech","AMS Letter A"
"Alexandra Newlon","alexandra newlon","Colgate University","colgate university","AMS Letter A"
"Alexis Byers","alexis byers","Youngstown State University","youngstown state university","AMS Letter A"
"Alice Mark","alice mark","Vanderbilt University","vanderbilt university","AMS Letter A"
"Alice Nadeau","alice nadeau","Cornell University","cornell university","AMS Letter A"
"Alicia Prieto Langarica","alicia prieto langarica","Youngstown State University","youngstown state university","AMS Letter A"
"Alison Lynch","alison lynch","California State University, Monterey Bay","california state university monterey bay","AMS Letter A"
"Alison Marr","alison marr","Southwestern University","southwestern university","AMS Letter A"
"Alissa Crans","alissa crans","Loyola Marymount University","loyola marymount university","AMS Letter A"
"Aliza Steurer","aliza steurer","Dominican University","dominican university","AMS Letter A"
"Allison Henrich","allison henrich","Seattle University","seattle university","AMS Letter A"
"Amanda Hattaway","amanda hattaway","Wentworth Institute of Technology","wentworth institute of technology","AMS Letter A"
"Amanda Knecht","amanda knecht","Villanova University","villanova university","AMS Letter A"
"Amanda Ruiz","amanda ruiz","University of San Diego","university of san diego","AMS Letter A"
"Amber Rosin","amber rosin","Cal Poly Pomona","california state polytechnic university pomona","AMS Letter A"
"Amber Verser","amber verser","Bowling Green State University","bowling green state university","AMS Letter A"
"Ami Radunskaya","ami radunskaya","Pomona College, Claremont","pomona college","AMS Letter A"
"Amie Wilkinson","amie wilkinson","University of Chicago","university of chicago","AMS Letter A"
"Amy Beth Prager","amy beth prager","NCWIT","national center for women and information technology","AMS Letter A"
"Amy Ellis","amy ellis","University of Georgia","university of georgia","AMS Letter A"
"Amy Ksir","amy ksir","United States Naval Academy","united states naval academy","AMS Letter A"
"Amy Parrott","amy parrott","University of Wisconsin Oshkosh","university of wisconsin oshkosh","AMS Letter A"
"Amy Velchoff","amy velchoff","Texas State University","texas state university","AMS Letter A"
"Amy Wehe","amy wehe","Fitchburg State University","fitchburg state university","AMS Letter A"
"Amzi Jeffs","amzi jeffs","University of Washington graduate program","university of washington","AMS Letter A"
"Ana Caraiani","ana caraiani","Imperial College London","imperial college london","AMS Letter A"
"Ana Rita Pires","ana rita pires","University of Edinburgh","university of edinburgh","AMS Letter A"
"Ander Erickson","ander erickson","University of Washington Tacoma","university of washington tacoma","AMS Letter A"
"Andrea Arauza Rivera","andrea arauza rivera","California State University, East Bay","california state university east bay","AMS Letter A"
"Andrea Heald","andrea heald","University of Washington","university of washington","AMS Letter A"
"Andrea Young","andrea young (mathematician)","Ripon College","ripon college","AMS Letter A"
"Andres Mejia","andres mejia","University of Pennsylvania","university of pennsylvania","AMS Letter A"
"Andres R. Vindas Melendez","andres r vindas melendez","University of Kentucky","university of kentucky","AMS Letter A"
"Andrew Bernoff","andrew bernoff","Harvey Mudd College","harvey mudd college","AMS Letter A"
"Andrew Cooper","andrew cooper","University of Pennsylvania","university of pennsylvania","AMS Letter A"
"Andrew D. Jones","andrew d jones","Jr., Florida A&M University","florida a&m university","AMS Letter A"
"Andrew Schaffner","andrew schaffner","Cal Poly, San Luis Obispo","california polytechnic state university san luis obispo","AMS Letter A"
"Angie Hodge","angie hodge","Northern Arizona University","northern arizona university","AMS Letter A"
"Anil Venkatesh","anil venkatesh","Adelphi University","adelphi university","AMS Letter A"
"Anila Yadavalli","anila yadavalli","University of Minnesota","university of minnesota","AMS Letter A"
"Anita O'Mellan","anita o'mellan","Youngstown State University","youngstown state university","AMS Letter A"
"Ann Clifton","ann clifton","Cedar Crest College","cedar crest college","AMS Letter A"
"Anna Haensch","anna haensch","Duquesne University","duquesne university","AMS Letter A"
"Anne Catlla","anne catlla","Wofford College","wofford college","AMS Letter A"
"Anne M. Ho","anne m ho","University of Tennessee","university of tennessee knoxville","AMS Letter A"
"Anschel Schaffer-Cohen","anschel schaffer cohen","University of Pennsylvania","university of pennsylvania","AMS Letter A"
"Anthony Bonato","anthony bonato","Ryerson University","ryerson university","AMS Letter A"
"Anton Dochtermann","anton dochtermann","Texas State University","texas state university","AMS Letter A"
"Anurag Katyal","anurag katyal","Palm Beach State College","palm beach state college","AMS Letter A"
"Aram Dermenjian","aram dermenjian","York University","york university","AMS Letter A"
"Areeba Ikram","areeba ikram","Colorado School of Mines","colorado school of mines","AMS Letter A"
"Aris Winger","aris winger","Georgia Gwinnett College","georgia gwinnett college","AMS Letter A"
"Asamoah Nkwanta","asamoah nkwanta","Morgan State University","morgan state university","AMS Letter A"
"Ashlee Kalauli","ashlee kalauli","University of California, Santa Barbara","university of california santa barbara","AMS Letter A"
"Audrey Malagon","audrey malagon","Virginia Wesleyan University","virginia wesleyan university","AMS Letter A"
"Axel Brandt","axel brandt","Northern Kentucky University","northern kentucky university","AMS Letter A"
"Bahar Acu","bahar acu","Northwestern University","northwestern university","AMS Letter A"
"Barbara Fantechi","barbara fantechi","Sissa, Trieste, Italy","sissa international school for advanced studies","AMS Letter A"
"Belin Tsinnajinnie","belin tsinnajinnie","Santa Fe Community College","santa fe community college","AMS Letter A"
"Ben Blum-Smith","ben blum smith","The New School","new school","AMS Letter A"
"Ben Ford","ben ford","Sonoma State University","sonoma state university","AMS Letter A"
"Benjamin Braun","benjamin braun","University of Kentucky","university of kentucky","AMS Letter A"
"Benjamin Cote","benjamin cote","Western Oregon University","western oregon university","AMS Letter A"
"Benjamin Dickman","benjamin dickman","The Hewitt School (NY)","hewitt school of new york","AMS Letter A"
"Benjamin Gaines","benjamin gaines","Iona College","iona college","AMS Letter A"
"Benjamin Levitt","benjamin levitt","Tri-Institutional MD-PhD Program",NA,"AMS Letter A"
"Berit Givens","berit givens","Cal Poly Pomona","california state polytechnic university pomona","AMS Letter A"
"Bianca Viray","bianca viray","University of Washington","university of washington","AMS Letter A"
"Bill Rosenthal","bill rosenthal","CUNY (retired)","city university of new york","AMS Letter A"
"Blake Farman","blake farman","Lafayette College","lafayette college","AMS Letter A"
"Bradley Elliott","bradley elliott","Emory University","emory university","AMS Letter A"
"Brandy S Wiegers","brandy s wiegers","Central Washington University","central washington university","AMS Letter A"
"Breeanne Swart","breeanne swart","The Citadel","citadel","AMS Letter A"
"Bret Benesh","bret benesh","College of Saint Benedict and Saint John's University","college of saint benedict and saint john's university","AMS Letter A"
"Brian Birgen","brian birgen","Wartburg College","wartburg college","AMS Letter A"
"Brian L. Walter","brian l walter","The Evergreen State College","evergreen state college","AMS Letter A"
"Brian Lindaman","brian lindaman","California State University, Chico","california state university chico","AMS Letter A"
"Brian P. Katz","brian p katz","Smith College","smith college","AMS Letter A"
"Brittany Stephenson","brittany stephenson","Lewis University","lewis university","AMS Letter A"
