Aaron Kaestner, North Park University
Belin Tsinnajinnie, Santa Fe Community College
Ben Blum-Smith, The New School
Ben Ford, Sonoma State University
Benjamin Braun, University of Kentucky
Benjamin Coté, Western Oregon University
Benjamin Dickman, The Hewitt School (NY)
Benjamin Gaines, Iona College
Benjamin Levitt, Tri-Institutional MD-PhD Program
Berit Givens, Cal Poly Pomona
Bianca Viray, University of Washington
Bill Rosenthal, CUNY (retired)
Blake Farman, Lafayette College
Bradley Elliott, Emory University
Brandy S Wiegers, Central Washington University
Breeanne Swart, The Citadel
Bret Benesh, College of Saint Benedict and Saint John's University
Brian Birgen, Wartburg College
Brian L. Walter, The Evergreen State College
Brian Lindaman, California State University, Chico
Brian P. Katz, Smith College
Brittany Stephenson, Lewis University
Brittney Miller, Coe College
Brooke Shipley, University of Illinois at Chicago
Bruce Reznick, University of Illinois at Urbana-Champaign
Bruce Yoshiwara, Los Angeles Pierce College, retired
Caglar Uyanik, Yale University
Caitlin Beecham, Georgia Institute of Technology
Calvin Jongsma, Dordt University
Cameron Byerley, University of Georgia
Cameron D Hill, Wesleyan University
Carla Cederbaum, University of Tübingen, Germany
Carmen Caprau, California State University, Fresno
Carol Schumacher, Kenyon College
Carolyn M. James, University of Portland
Carrie Diaz Eaton, Bates College
Carrie Muir, Whatcom Community College
Carter Johnson, University of California, Davis
Casey Monday, University of Cincinnati
Casey Warmbrand, Arizona State University
Catherine Buell, Fitchburg State University
Cathery Yeh, Chapman University
Chad Topaz, Williams College
Chanda Prescod-Weinstein, University of New Hampshire
Charles D. Camp, Cal Poly San Luis Obispo
Cheryl Eames, Southern Illinois University Edwardsville
Cheryl Grood, Swarthmore College
Chiheon Kim, Kakao Brain
Chloe Urbanski Wawrzyniak, Rutgers University
Chris Danforth, University of Vermont
Chris Rasmussen, San Diego State University
Christian Jäh, Georg-August Universität Göttingen
Christina Edholm, Scripps College
Christina Eubanks-Turner, Loyola Marymount University
Christine von Renesse, Westfield State University
Christopher Duffy, University of Saskatchewan
Christopher Hanusa, Queens College, CUNY
Christopher Marcotte, University of Exeter
Christopher Miles, Courant Institute of Mathematical Sciences (NYU)
Christopher Natoli, CUNY
Christopher Perez, University of Illinois at Chicago
Christopher R. Lee, University of Portland
Christopher Yakes, Salem State University
Cihan Can, Florida State University
Clara Buck, Iowa State University
Claudio Gómez-Gonzáles, University of Chicago
Cody L. Patterson, Texas State University
Concha Gomez, Diablo Valley College
Corrine Yap, Rutgers University
Cory Colbert, Washington and Lee University
Courtney R. Gibbons, Hamilton College
Cristina Runnalls, Cal Poly Pomona
Crystal Clough, University of Cincinnati
Cvetelina Hill, Georgia Institute of Technology
Cynthia Flores, California State University Channel Islands
Cynthia Wyels, California State University Channel Islands
Dagan Karp, Harvey Mudd College
Dana C. Ernst, Northern Arizona University
Daniel Freeman, St Louis University
Daniel Groves, University of Illinois at Chicago
Daniel Pollack, University of Washington
Daniel Reinholz, San Diego State University
Danielle Champney, Cal Poly, San Luis Obispo
Danny Bernard Martin, University of Illinois at Chicago
Dany Waller, Morehead State University
Darren Glass, Gettysburg College
Dave Jensen, University of Kentucky
Dave Kung, St. Mary's College of Maryland
David Brown, Ithaca College
David Clark, GVSU
David desJardins, MIT Corporation
David Dynerman, Chan-Zuckerberg Biohub
David Freund, Harvard University
David Futer, Temple University
David Murrugarra, University of Kentucky
David Neel, Seattle University
David Plaxco, Clayton State University
Debra K. Borkovitz, Boston University
Derek L. Smith, N/A
Derrick Wigglesworth, University of Arkansas
Devlin Mallory, University of Michigan
Diana Davis, Swarthmore College
Diana Thomas, United States Military Academy
Diane Henderson, Penn State University
Diego A. Robayo Bargans, Universidad de Los Andes
Dominic Canzanese, Villanova University
Doug Burkholder, Lenoir-Rhyne University
Douglas Norton, Villanova University
Drew Lewis, University of South Alabama
Dustin Ross, San Francisco State University
Dylan Poulsen, Washington College
Edgar Fuller, Florida International University
Eduardo Dueñez, University of Texas at San Antonio
Edward Welsh, Westfield State University
Eileen Fernandez, Montclair State University
Eileen Melville, Clemson University
Eileen Murray, Montclair State University
Elaine Lande, University of Michigan
Elisa Celis, Yale University
Eliza Gallagher, Clemson University
Elizabeth Beer, IDA/Center for Computing Sciences
Elizabeth Gross, University of Hawai’i at Manoa
Elizabeth Kersey, University of Northern Colorado
Elizabeth Munch, Michigan State University
Elizabeth Niese, Marshall University
Elizabeth Thoren, Pepperdine University
Ellen Gasparovic, Union College
Ellen Goldstein, Boston College
Ellen Veomett, Saint Mary's College of California
Emek Kose, St. Mary’s College of Maryland
Emerald Stacy, Washington College
Emilie Hancock, Central Washington University
Emilie Wiesner, Ithaca College
Emily Braley, Harvard University
Emily Cilli-Turner, University of La Verne
Emily Clader, San Francisco State University
Emily Olson, Millikin University
Emily Riehl, Johns Hopkins University
Emily Winn, Brown University
Emma Gargroetzi, Stanford University
Eric "Rico" Gutstein, University of Illinois at Chicago
Eric Eager, Pro Football Focus
Eric Kuennen, University of Wisconsin Oshkosh
Erica R. Miller, Virginia Commonwealth University
Erica Shannon, Pierce College
Erika Roldan, The Ohio State University
Erin Angelini, University of Washington
Erin Meger, Ryerson University
Erin R. Moss, Millersville University (PA)
Erin Wolf Chambers, Saint Louis University
Ernest Guico, University of Georgia
Ernesto D. Calleros, UC San Diego & San Diego State University
Everett Howe, AMS life member, currently unaffiliated
F. Patricia Medina, Yeshiva University
Fany Salazar, University of Arizona
Federico Ardila, San Francisco State University
Feng Zhu, University of Michigan
Francis Su, Harvey Mudd College
Frank A. Farris, Santa Clara University
Frederick Peck, University of Montana
Fumiko Futamura, Southwestern University
Gabriel Dorfsman-Hopkins, UC Berkeley
Gabriel Sosa Castillo, Colgate University
Gabriela Hamerlinck, University of Florida
Gage Martin, Boston College
Gail Tang, University of La Verne
Geillan Aly, University of Hartford
Geoffrey Buhl, California State University Channel Islands
George Avery, AHDI
Giovanny Marquez, University of California, Santa Cruz
Gloria Mari Beffa, University of Wisconsin-Madison
Gulden Karakok, University of Northern Colorado
Hanna Bennett, University of Michigan
Hannah Highlander, University of Portland
Hassan Rafique, The University of Iowa
Hayley Milbourne, University of San Diego
Heather Zinn Brooks, UCLA
Henry Adams, Colorado State University
Hillary Einziger, University of Cincinnati
Holly Swisher, Oregon State University
Hong Qin, University of Tennessee at Chattanooga
Ihsan Topaloglu, Virginia Commonwealth University
Iian Smythe, Rutgers University
Immanuel Williams, California Polytechnic State University
Inbar Klang, Columbia University
Irma Cruz-White, Chipola College
Isaac Sundberg, Bryn Mawr College
J. Christopher Tweddle, Governors State University
J. Toufic Chahin, University of Texas
Jaclyn Anderson, University of Nebraska-Omaha
Jaco Stroebel, University of Pretoria
Jacqueline A Hall, Longwood University (Ret)
Jacqueline Coomes, Eastern Washington University
Jacqueline Jensen-Vallin, Lamar University
James Álvarez, The University of Texas at Arlington
James Conway, UC Berkeley
James Sheldon, University of Arizona
Jan Cameron, Vassar College
Janice Sklensky, Wheaton College
Janine Wittwer, Westminster College (UT)
Japheth Wood, Bard College
Jared Holshouser, University of South Alabama
Jasmine Foo, University of Minnesota
Jason E. Miller, California State University Channel Islands
Jasper Weinburd, Harvey Mudd College
Jean-Philippe Chassé, Université de Montréal
Jeff Graham, Susquehanna University
Jeffrey X. Watt, Indiana U - Purdue U Indianapolis (IUPUI)
Jen-Mei Chang, California State University, Long Beach
Jennifer A. Wolfe, The University of Arizona
Jennifer Bowen, The College of Wooster
Jennifer Danae Berg, Fitchburg State University
Jennifer Kenkel, University of Kentucky
Jennifer Schaefer, Dickinson College
Jennifer V. Jones, Fairleigh Dickinson University
Jenny Switkes, Cal Poly Pomona
Jeremy F Alm, Lamar University
Jeremy F. Strayer, Middle Tennessee State University
Jess Ellis Hagman, Colorado State University
Jessalyn Bolkema, Harvey Mudd College
Jessica Deshler, West Virginia University
Jessica M. Libertini, Virginia Military Institute
Jessie Oehrlein, Columbia University
Jianzhong Su, University of Texas at Arlington
Jieun Seong, Georgia Institute of Technology
Jill Bigley Dunham, Chapman University
Jill Shahverdian, Quinnipiac University
Jim Hartman, The College of Wooster
Jo Hardin, Pomona College
Joanna Wares, University of Richmond
Jodi McWhirter, Washington University in St. Louis
Joe Moeller, University of California, Riverside
Johanna Franklin, Hofstra University
John F. Gibson, University of New Hampshire
John Golden, Grand Valley State University
John H. Johnson Jr., The Ohio State University
John Meier, Lafayette College
John Nardini, NC State University
John Rock, Cal Poly Pomona
John Ross, Southwestern University
John Zobitz, Augsburg University
Johnny Guzman, Brown University
Jonas D'Andrea, Westminster College (UT)
Jonathan Alcaraz, UC Riverside
Jonathan Beardsley, Georgia Institute of Technology
Jonathan Dunbar, St. Norbert College
Jonathan J. White, Coe College
Jonathan K. Hodge, Grand Valley State University
Jordan Kostiuk, Brown University
Joseph E. Hibdon, Jr., Northeastern Illinois University
Josh Laison, Willamette University
Joshua Batson, Chan Zuckerberg Biohub
Joshua Cooper, University of South Carolina
Joshua Holden, Rose-Hulman Institute of Technology
Joshua Mundinger, University of Chicago
Joshua Wiscons, California State University, Sacramento
Juan B. Gutierrez, University of Texas at San Antonio
Juan Villeta-Garcia, Emory University
Juanita Pinzón-Caicedo, MPIM/ University of Notre Dame
Julia Webster, University of North Carolina Asheville
Julian F Fleron, Westfield State University
Julianne Vega, University of Kentucky
Julie Rana, Lawrence University
Julie Seitz, Youngstown State University
Julie Theoret, Northern Vermont University
Julien Paupert, Arizona State University
Justin Dong, Brown University
Justin Lanier, Georgia Institute of Technology
Justin R. Peters, Iowa State University
Justin Troyka, York University
K G Valente, Colgate University
Kameryn Williams, University of Hawai'i at Mānoa
Kamuela Yong, University of Hawaii - West Oahu
Karen Clark, The College of New Jersey
Karen Thomas, Edgewood College
Karoline Pershell, Association for Women in Mathematics
Kate Owens, College of Charleston
Kate Poirier, City University of New York - NYCCT
Katherine Kinnaird, Smith College
Kathi Crow, Salem State University
Kathryn Leonard, Occidental College
Kathryn Link, University of Utah
Kathryn Van Etten, University of Nebraska-Lincoln
Katie Ansaldi, Wabash College
Katrin Wehrheim, UC Berkeley
Katrina Morgan, Northwestern University
Katrina Piatek-Jimenez, Central Michigan University
Kay Kirkpatrick, University of Illinois at Urbana-Champaign
Kayden Mimmack, University of California, Davis
Kayla Gibson, University of Iowa
Keith M Jones, SUNY Oneonta
Keivan Hassani Monfared, AMS member
Kelly Black, University of Georgia
Kelly Bubp, Ohio University
Kelly MacArthur, University of Utah
Kenan İnce, Westminster College (UT)
Kimberly A. Roth, Juniata College
Kisun Lee, Georgia Tech
Klaus Volpert, Villanova University
Komal Agrawal, University of Georgia
Krista Bresock, West Virginia University
Kristin Kuter, Saint Mary's College (IN)
Ksenija Simic-Muller, Pacific Lutheran University
Kyle Besing, Kentucky Wesleyan College
Kyle Ferendo, Brown University
Kyle Petersen, DePaul University
Lateefah Id-Deen, Kennesaw State University
Laura Lopez Cruz, CUNY Graduate Center
Lee Worden, UCSF
Leonardo Javier Rodriguez Gutierrez, University of Illinois at Urbana-Champaign
Lewis Sloter, College of Central Florida
Lily Khadjavi, Loyola Marymount University
Lindsey Bosko-Dunbar, St Norbert College
Lior Pachter, California Institute of Technology
Lisa Bromberg, Springfield College
Lisa DeMeyer, Central Michigan University
Lisa Marano, West Chester University
Lola Thompson, Oberlin College
Lori Ziegelmeier, Macalester College
Lorraine Franco, Gwinnett County Public Schools
Lou Matthews, UrbanTeachers
Luiza Coelho, California Institute of Technology
M. Drew LaMar, William & Mary
Maarten McKubre-Jordens, University of Canterbury
Maddie Schroth-Glanz, Cal Poly San Luis Obispo
Madeline Brandt, University of California, Berkeley
Maeve L. McCarthy, Murray State University
Maia Averett, Mills College
Makeda Brome, Math Educator
Malena Espanol, Arizona State University
Marcella Gomez, University of California, Santa Cruz
Marco V. Martinez, North Central College
Margaret Morrow, SUNY Plattsburgh
Maria Basterra, University of New Hampshire
María Cumplido, Heriot-Watt University
Maria G Martinez, Arizona State University
Mariah Birgen, Wartburg College
Marianne Korten, Kansas State University
Marie Snipes, Kenyon College
Mario Banuelos, California State University, Fresno
Marissa Kawehi Loving, Georgia Tech
Mark Beering, El Sausal Middle School
Mark Branson, Stevenson University
Mark Daniel Ward, Purdue University
Mark W. Ellis, CSU Fullerton
Marko Budisic, Clarkson University
Marla Williams, University of Nebraska
Marta Civil, University of Arizona
Martha Byrne, Sonoma State University
Martha Precup, Washington University in St. Louis
Martha Shott, Sonoma State University
Mary D. Shepherd, Northwest Missouri State University
Mary E. Pilgrim, San Diego State University
Mary K. Arthur, Washington State University
Mary K. Porter, Saint Mary's College (IN)
Matilde Lalin, University of Montreal, Canada
Matilde Marcolli, Caltech, University of Toronto, and Perimeter Institute
Matt Davis, Muskingum University
Matthew Ando, University of Illinois
Matthew Cathey, Wofford College
Matthew Dahlgren, University of Michigan
Matthew G. Jones, California State University Dominguez Hills
Matthew K Voigt, University of California San Diego
Matthew Salomone, Bridgewater State University
Matthias Beck, San Francisco State University
Matthias Kawski, Arizona State University
Max Lahn, University of Michigan
Megan Breit-Goodwin, Anoka-Ramsey Community College
Megan Cream, Lehigh University
Megan E. Sawyer, Southern New Hampshire University
Megan Selbach-Allen, Stanford University
Melanie Brown, Champlain College
Melanie Pivarski, Roosevelt University
Melissa Sutherland, SUNY Geneseo
Meredith L. Greer, Bates College
Meredith Sargent, University of Arkansas
Michaël Ayoul, École Polytechnique
Michael Dougherty, Colby College
Michael J. Barany, University of Edinburgh
Michael Lacey, Georgia Institute of Technology
Michael Robert, University of the Sciences, Philadelphia
Michael Ruddy, Max Planck Institute for Mathematics in the Sciences
Michael S. Gagliardo, California Lutheran University
Michael T. Schultz, Utah State University
Michael Vischak, The Kinkaid School
Michael Wills, Layton Christian Academy
Michelle Manes, University of Hawaii at Manoa
Michelle Snider, IDA/Center for Computing Sciences
Michole Washington, University of Michigan
Mikael Vejdemo-Johansson, CUNY College of Staten Island / CUNY Graduate Center
Mikahl Banwarth-Kuhn, UC Merced
Mike Tait, Villanova University
Milos Savic, University of Oklahoma
Mindy Capaldi, Valparaiso University
Mitch Haeuser, Iowa State University
Mitchel T. Keller, Morningside College
Moira McDermott, Syracuse University
Mollee Shultz, University of Michigan
Monica L. Miles, Cornell University
Monica VanDieren, Robert Morris University
Moshe Cohen, State University of New York at New Paltz
Natalia García-Colín, Sociedad Matemática Mexicana
Natalie Downey, University of Colorado
Natalie Sheils, UnitedHealth Group
Nate Brown, Penn State University
Nathan Ryan, Bucknell University
Nathan Warnberg, University of Wisconsin-La Crosse
Neha Gupta, Georgia Tech
Nicholas Battista, The College of New Jersey
Nicholas Fortune, Western Kentucky University
Nickolas A Castro, University of Arkansas
Nicole Eikmeier, Grinnell College
Nicole Infante, West Virginia University
Nicole M. Joseph, Vanderbilt University
Nina Fefferman, University of Tennessee
Nina White, University of Michigan
Nitsa Movshovitz-Hadar, Technion - Israel Institute of Technology
Noah Weiss, University of Wisconsin Eau Claire
Noelle Beckman, Utah State University
Olivia Borghi, University of Washington
Omayra Ortega, Sonoma State University
Oscar Vega, California State University, Fresno
Paige Helms, University of Washington
Pamela E. Harris, Williams College
Parker Glynn-Adey, University of Toronto Mississauga
Patrick Bahls, University of North Carolina, Asheville
Paul Salomon, John Burroughs School
Perla Myers, University of San Diego
Peter Chi, Villanova University
Peter Kagey, University of Southern California
Peter Muller, Villanova University
Philip Hotchkiss, Westfield State University
Phong Le, Goucher College
Pierre Albin, University of Illinois at Urbana-Champaign
Piper H, NA
Prateek Kunwar, University of Hawai'i at Mānoa
Priscilla Bremser, Middlebury College
Priya V. Prasad, University of Texas at San Antonio
Quinn A. Morris, Appalachian State University
Rachel Skipper, The Ohio State University
Rachel Vale, Portland State University
Rachel Weir, Allegheny College
Rachelle DeCoste, Wheaton College (MA)
Rafael Monteiro, Advanced Institute for Materials Research / Matham-Oil, Japan
Ralph Pantozzi, Kent Place School
Rami Grossberg, Carnegie Mellon University
Ramin Takloo-Bighash, University of Illinois at Chicago
Ranjan Rohatgi, Saint Mary's College
Rann Bar-On, Duke University
Rebecca Durst, Brown University
Rebecca Garcia, Sam Houston State University
Rebecca Gasper, Creighton University
Rebecca R.G., George Mason University
Rebecca Santorella, Brown University
Rebecca Segal, Virginia Commonwealth University
Rebecca Swanson, Colorado School of Mines
Renzo Cavalieri, Colorado State University
Ricardo Cortez, Tulane University
Ricela Feliciano-Semidei, Northern Illinois University
Richard Laugesen, University of Illinois
Richard McGehee, University of Minnesota
Rob Oakley, Temple University
Robert Campbell, College of St. Benedict and St. John's University
Robert Davis, Colgate University
Robert Kelvey, The College of Wooster
Robert Lemke Oliver, Tufts University
Robert Smith?, The University of Ottawa
Robert T Jantzen, Villanova University
Robert W. Vallin, Lamar University
Roberto Soto, California State University, Fullerton
Robin T. Wilson, Cal Poly Pomona
Rochelle Gutierrez, University of Illinois at Urbana-Champaign
Rodrigo Gutierrez, University of Arizona
Rodrigo Treviño, University of Maryland, College Park
Rosalie Bélanger-Rioux, McGill University
Rosalyn LaPier, Environmental Studies, University of Montana
Rose Uscanga, Oklahoma State University
Russell Brown, University of Kentucky
Sally Collins, Georgia Institute of Technology
Sam Cook, Boston University
Sam Fleischer, UC Davis
Samuel Iselin, Georgia Institute of Technology
Sandra Laursen, University of Colorado Boulder
Sang-il Oum, Institute for Basic Science / KAIST
Sara L. Uckelman, Durham University
Sarah A. Nelson, Lenoir-Rhyne University
Sarah Bryant, Dickinson College
Sarah Griffith, Brown University
Sarah K. Salmon, University of Colorado Boulder
Sarah Milstein, University of Minnesota
Sarah Wright, Fitchburg State University
Sasha Townsend, Tulsa Community College
Sat Gupta, University of North Carolina - Greensboro
Scott Beaver, Western Oregon University
Sean Raleigh, Westminster College (UT)
Sean Sather-Wagstaff, Clemson University
Selenne Bañuelos, Cal State University Channel Islands
Semra Kilic-Bahi, Colby-Sawyer College
Shahriar Shahriari, Pomona College
Sharona Krinsky, California State University Los Angeles
Shelby M. Scott, University of Tennessee, Knoxville
Simon Kelly, Santa Clara University
Soledad Villar, New York University
Sonja Petrovic, Illinois Institute of Technology
Spencer Bagley, Westminster College (UT)
Spencer Hamblen, McDaniel College
Stacy Musgrave, Cal Poly Pomona
Stan Yoshinobu, Cal Poly San Luis Obispo
Stefanie D. Livers, Missouri State University
Stephan Sturm, Worcester Polytechnic Institute
Stephanie Baker, The University of Texas at Austin
Stephanie Chang, UC Davis
Stephanie Garofalo, Georgia State University
Stephanie M. Kolitsch, University of Tennessee at Martin
Stephanie Salomone, University of Portland
Steven Clontz, University of South Alabama
Steven Greenstein, Montclair State University
Stuart Boersma, Central Washington University
Sue VanHattum, Contra Costa College
Susan D'Agostino, Johns Hopkins University
Susan Goldstine, St. Mary’s College of Maryland
Susan Hollingsworth, Edgewood College
Susan J. Sierra, University of Edinburgh
Suzanne Lynch Boyd, University of Wisconsin Milwaukee
Suzanne Sindi, University of California, Merced
Sylvain Lavau, IMJ-PRG, Université Paris Diderot
Talia Fernós, UNC Greensboro
Tarik Aougab, Haverford College
Taro Shima, City College of New York
Taylor E. Martin, Sam Houston State University
Taylor Short, Grand Valley State University
Teri Murphy, University of Cincinnati
Terrence Blackman, Medgar Evers College, CUNY
Therese Shelton, Southwestern University (TX)
Theron J Hitchman, University of Northern Iowa
Thomas Dick, Oregon State University
Thomas Goodwillie, Brown University
Tim Hsu, San Jose State University
Tim McEldowney, West Virginia University
Timothy E. Goldberg, Lenoir-Rhyne University
Timothy Feeman, Villanova University
Timothy Ferdinands, Alfred University
Timothy J. Huber, University of Texas Rio Grande Valley
Tony Samuel, University of Birmingham, UK
Topaz Wiscons, California State University, Sacramento
Travis Morrison, University of Waterloo
Travis Shrontz, Georgia Tech
Tyler Chen, University of Washington
Valerie Peterson, University of Portland
Vanessa Aguirre, San Francisco State University
Vanessa Rivera-Quiñones, No affiliation
Vicki-Lynn Holmes, Hope College
Victor Ocasio-Gonzalez, University of Puerto Rico-RUM
Victor Piercey, Ferris State University
Vikram Kamat, Villanova University
Virgil U Pierce, University of Northern Colorado
Vitaly Lorman, University of Rochester
Volker Ecke, Westfield State University
Wendy M. Smith, University of Nebraska
Whitney George, University of Wisconsin - La Crosse
Widodo Samyono, Jarvis Christian College
William Malone, Temecula Valley Unified School District
William Worden, Rice University
Xander Faber, IDA/Center for Computing Sciences
Xiao Xiao, Utica College
Ximena Catepillan, Millersville University of Pennsylvania
Yan Zhuang, Davidson College
Yang Xiao, Brown University
Yemeen Ayub, George Mason University
Yousuf George, Nazareth College
Yuri Santos Rego, OvG University Magdeburg
Ziva Myer, Duke University
